project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-363-124-bug环信客服V1.7测试_1470654388+52.csv,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.2,4,4,1
performance-363-124-bug环信客服V1.7测试_1470654388+58.csv,0,0,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0.5,0.5,0,4,4,29
performance-363-124-bug环信客服V1.7测试_1470654388+97.csv,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,7,2,2
performance-364-73-bug微乐杂志锁屏测试_1470654359+17.csv,0.1,0.1,0,0.2,0.2,0.1,0.3,0.3,0.2,0.3,0.3,0.4,0.6,0.5,0.7,1,1,3
performance-364-73-bug微乐杂志锁屏测试_1470654359+41.csv,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0,1,0.666666667,0.666666667,1,1,13
performance-364-73-bug微乐杂志锁屏测试_1470654359+63.csv,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,2,2,7
performance-365-166-bug风迹V1.0.8测试_1470654360+108.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,53,45
performance-365-166-bug风迹V1.0.8测试_1470654360+27.csv,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0.3,0.3,0.2,5,13,14
performance-365-166-bug风迹V1.0.8测试_1470654360+5.csv,0.052631579,0.052631579,0.052631579,0.105263158,0.105263158,0.105263158,0.105263158,0.157894737,0.105263158,0.210526316,0.210526316,0.263157895,0.263157895,0.263157895,0.473684211,1,1,1
performance-365-166-bug风迹V1.0.8测试_1470654360+56.csv,0,0,0,0,0,0,0.166666667,0.166666667,0,0.5,0.333333333,0.333333333,0.833333333,0.833333333,0.5,5,5,7
performance-365-166-bug风迹V1.0.8测试_1470654360+70.csv,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.5,7,5,1
performance-365-166-bug风迹V1.0.8测试_1470654360+76.csv,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0.666666667,0.333333333,0.333333333,0.666666667,0.333333333,16,3,5
performance-365-166-bug风迹V1.0.8测试_1470654360+86.csv,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,16,3,17
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+10.csv,0,0,0,0,0,0,0.05,0.05,0.05,0.1,0.1,0.05,0.2,0.2,0.2,4,4,4
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+104.csv,0,0,0,0,0.2,0,0,0.4,0,0,0.4,0.2,0,0.4,0.2,31,2,9
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+118.csv,0,0,0,0,0.25,0,0,0.5,0,0,0.5,0,0,0.5,0.5,41,2,11
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+136.csv,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,39,40,8
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+149.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,22
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+19.csv,0,0,0,0,0,0,0.052631579,0.052631579,0.052631579,0.105263158,0.105263158,0.105263158,0.263157895,0.210526316,0.157894737,4,4,5
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+35.csv,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0.1875,0.1875,0.125,10,10,14
performance-366-206-bug通辽碧桂园V2.07.160526测试_1470654364+56.csv,0,0,0,0.071428571,0.071428571,0,0.071428571,0.071428571,0,0.071428571,0.071428571,0.142857143,0.214285714,0.214285714,0.285714286,3,3,6
