project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-360-277-bug寻到宝V1.0.0测试_1470654368+99.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,13.0,13.0,28.0,
performance-361-155-bug德成贷V1.0测试_1470654375+119.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,12.0,5.0,
performance-361-155-bug德成贷V1.0测试_1470654375+17.csv,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.35714285714285715,1.0,3.0,5.0,
performance-361-155-bug德成贷V1.0测试_1470654375+31.csv,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.4,0.4,0.3,2.0,2.0,4.0,
performance-361-155-bug德成贷V1.0测试_1470654375+40.csv,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.4444444444444444,3.0,3.0,3.0,
performance-361-155-bug德成贷V1.0测试_1470654375+48.csv,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.125,0.25,0.375,0.375,0.5,0.375,9.0,6.0,3.0,
performance-361-155-bug德成贷V1.0测试_1470654375+57.csv,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,6.0,6.0,1.0,
performance-361-155-bug德成贷V1.0测试_1470654375+63.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,6.0,6.0,17.0,
performance-361-155-bug德成贷V1.0测试_1470654375+94.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,11.0,11.0,20.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+113.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,3.0,3.0,7.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+125.csv,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,21.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+26.csv,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.46153846153846156,3.0,3.0,7.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+50.csv,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.0,3.0,16.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+71.csv,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,3.0,3.0,8.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+84.csv,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.2,3.0,3.0,5.0,
performance-362-172-bug一比分V1.1.0测试_1470654365+94.csv,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.75,0.75,0.5,3.0,3.0,12.0,
performance-363-124-bug环信客服V1.7测试_1470654388+104.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,15.0,15.0,
performance-363-124-bug环信客服V1.7测试_1470654388+24.csv,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.125,0.375,0.375,0.125,0.625,0.625,0.25,4.0,4.0,2.0,
performance-363-124-bug环信客服V1.7测试_1470654388+31.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.2857142857142857,4.0,4.0,7.0,
performance-363-124-bug环信客服V1.7测试_1470654388+43.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,4.0,4.0,4.0,
performance-363-124-bug环信客服V1.7测试_1470654388+52.csv,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.2,4.0,4.0,1.0,
performance-363-124-bug环信客服V1.7测试_1470654388+58.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.5,0.0,4.0,4.0,29.0,
performance-363-124-bug环信客服V1.7测试_1470654388+97.csv,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,7.0,2.0,2.0,
performance-364-73-bug微乐杂志锁屏测试_1470654359+17.csv,0.1,0.1,0.0,0.2,0.2,0.1,0.3,0.3,0.2,0.3,0.3,0.4,0.6,0.5,0.7,1.0,1.0,3.0,
performance-364-73-bug微乐杂志锁屏测试_1470654359+41.csv,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,13.0,
