task category,number of reports,number of bugs,number of unique bugs,number of crowdworkers
shopping,21,15,5,21
shopping,123,68,23,123
shopping,24,14,3,24
shopping,24,10,3,24
shopping,116,78,21,116
shopping,20,15,4,20
shopping,124,120,25,124
shopping,20,15,5,20
shopping,24,16,5,24
shopping,75,20,9,75
shopping,101,32,10,101
shopping,58,17,11,58
shopping,75,66,34,75
shopping,69,27,13,69
shopping,34,34,14,34
shopping,46,39,15,46
shopping,127,75,16,127
shopping,119,85,17,119
shopping,90,65,19,90
shopping,95,45,21,95
shopping,195,179,27,195
shopping,197,179,28,197
shopping,244,112,28,244
shopping,243,188,29,243
shopping,250,230,31,250
shopping,266,155,32,266
shopping,271,202,33,271
shopping,282,184,34,282
shopping,290,142,34,290
shopping,283,184,36,283
shopping,297,209,36,297
shopping,326,268,40,326
shopping,165,112,43,165
shopping,328,198,43,328
shopping,541,236,55,541
suningEbuy≤‚ ‘_1463737497,124,56,31,124
travel,44,36,13,44
travel,34,27,13,34
travel,58,46,16,58
travel,52,43,32,52
travel,42,32,13,42
travel,54,45,16,54
travel,29,18,11,29
travel,39,20,6,39
travel,33,11,3,33
travel,41,36,11,41
travel,21,14,5,21
travel,156,132,82,156
travel,33,16,5,33
travel,185,98,34,185
travel,42,32,9,42
travel,34,23,14,34
travel,44,20,9,44
travel,179,97,32,179
travel,116,87,60,116
travel,130,78,34,130
travel,168,143,24,168
travel,20,16,5,20
travel,34,20,9,34
travel,22,13,8,22
travel,59,10,8,59
travel,22,20,11,22
travel,30,26,12,30
travel,29,20,12,29
travel,63,29,13,63
travel,39,32,13,39
travel,48,35,13,48
travel,77,63,21,77
travel,128,67,15,128
travel,62,62,15,62
travel,62,62,15,62
travel,128,67,15,128
travel,89,82,16,89
travel,143,130,65,143
travel,158,140,22,158
travel,170,139,23,170
travel,170,139,23,170
travel,221,117,24,221
travel,215,147,24,215
travel,194,185,27,194
travel,197,169,28,197
travel,239,204,29,239
travel,289,161,35,289
travel,332,290,41,332
travel,326,268,45,326
travel,372,345,46,371
travel,448,298,69,448
video,22,12,7,22
video,23,19,4,23
video,127,67,32,127
video,184,132,24,184
video,37,32,5,37
video,197,129,24,197
video,184,102,23,182
video,200,87,34,200
video,21,18,4,21
video,194,167,47,194
video,20,9,3,20
video,124,98,75,124
video,49,10,5,49
video,116,97,43,116
video,26,12,9,26
video,23,18,10,23
video,40,37,13,40
video,62,41,13,62
video,48,34,16,48
video,124,63,16,124
video,141,133,86,141
video,93,58,21,93
video,90,81,22,90
video,167,129,22,167
